time,sub,lang,state,city,sdacown,sdacee,sdacee2x,sdacnotnec,sdacwant,sdacss,sdacnotworth,sdacqol,sdacnotbad,siwastee,sidivest,sirenslow,sirenair,siglobal,siccdrastic,sisoc,sicccit,siccgov,siccrich,siccind,sicclux,sieeworth,siwestcut,siev,sisolar,sisolarenv,sifoodwaste,simeat,sidevair,siairpol,sinewbldg,sirenter,siweststd,sirichstd,sisuccess,sicomfort,sisaving,siwaste,dacown,dacee,dacee2x,dacnotnec,dacss,dacnotworth,dacqol,dacnotbad,pacee2x,pacnotnec,pacss,pacnotworth,pacqol,pacnotbad,bacvsother,bpayeeac,bpubtrans,age,gender,edu,employ,marital,caste,income,incometext,home,monthlyexp,n4wheel,n2wheel
Duration (in seconds),Response ID,User Language,Which state or union territory do you currently reside in?,Which city or town do you currently reside in?,Please indicate how many city-dwellers in India do you think own air conditioners.,Please indicate how many city-dwellers in India are willing to buy energy-efficient/star-rated air conditioners even if they cost more to buy.,Please indicate how many city-dwellers in India believe that people should buy energy-efficient/star-rated air conditioners even if they cost twice as much to buy.,Please indicate how many city-dwellers in India believe that air conditioners are not a necessity.,Please indicate how many city-dwellers in India would want to own air conditioners.,Please indicate how many city-dwellers in India believe that owning an air conditioner is a requirement of high social status.,Please indicate how many city-dwellers in India believe that air conditioners are not worth buying because they are too expensive.,Please indicate how many city-dwellers in India believe that air conditioners are essential for good quality of life.,Please indicate how many city-dwellers in India believe that air conditioners are not bad for the environment.,Please indicate how many city-dwellers in India believe that those who waste energy are bad people.,Please indicate how many city-dwellers in India believe that India should take funding away from coal and other fossil fuels and give it to developing renewable sources of energy like wind and solar.,Please indicate how many city-dwellers in India believe that investing in renewable energy instead of investing in coal will slow India’s development.,Please indicate how many city-dwellers in India believe that shifting primarily to renewable energy is the only way to secure good air quality for India.,Please indicate how many city-dwellers in India believe that developing renewable energy is not important for India’s global status.,"Please indicate how many city-dwellers in India believe that solving climate change demands drastic solutions now, even if it is costly or interrupts our day-to-day life.",Please indicate how many city-dwellers in India believe that other social problems are more urgent than climate change.,Please indicate how many city-dwellers in India believe that addressing climate change is not the citizens’ responsibility.,Please indicate how many city-dwellers in India believe that the government must take much more action to address climate change.,Please indicate how many city-dwellers in India believe that only rich countries should be responsible for addressing climate change.,"Please indicate how many city-dwellers in India believe that India should be an international leader in addressing climate change, even if rich countries don’t help.",Please indicate how many city-dwellers in India believe that worrying about climate change is a luxury.,Please indicate how many city-dwellers in India believe that energy-efficient/star-rated appliances are not worth buying because they are too expensive.,Please indicate how many city-dwellers in India believe that people in the western world should drastically cut their energy usage because they use too much.,"Please indicate how many city-dwellers in India believe that people should switch to electric vehicles (cars, 2- and 3-wheelers, buses, etc.) because it would be better for the environment.",Please indicate how many city-dwellers in India believe that solar water heaters are worth the extra cost to buy them.,Please indicate how many city-dwellers in India believe that solar water heaters may have environmental benefits but are not worth the cost.,Please indicate how many city-dwellers in India believe that occasionally wasting some food is not that bad.,Please indicate how many city-dwellers in India believe that eating meat is bad for the environment.,Please indicate how many city-dwellers in India believe that we should reduce economic development in order to have clean air.,"Please indicate how many city-dwellers in India believe that people should avoid behaviors that contribute to air pollution (driving cars, using diesel generators, dust from construction, coal-based electricity, crop burning, etc.).",Please indicate how many city-dwellers in India believe that new buildings should have better insulation and solar panels even if they take more time and money to build.,Please indicate how many city-dwellers in India believe that renters are not responsible for the energy efficiency and sustainability of their homes.,"Please indicate how many city-dwellers in India believe that achieving the western standard of living (e.g. big houses, cars, etc.) is the most desirable goal in life.","Please indicate how many city-dwellers in India believe that achieving the standard of living of wealthy people in India (e.g. big houses, cars, etc.) is the most desirable goal in life.","Please indicate how many city-dwellers in India believe that larger homes, expensive cars, fancy clothes and accessories are not clear indicators of whether someone is successful in life.",Please indicate how many city-dwellers in India believe that being comfortable today is more important than addressing climate change.,Please indicate how many city-dwellers in India believe that it is OK to make unnecessary purchases sometimes and not save money.,Please indicate how many city-dwellers in India believe that it is never OK to be wasteful.,"Recently in Indian cities, owning air conditioners is . . .","Recently in Indian cities, willingness to buy energy-efficient/star-rated air conditioners even if they cost more to buy is . . .","Recently in Indian cities, the belief that people should buy energy-efficient/star-rated air conditioners even if they cost twice as much to buy is . . .","Recently in Indian cities, the belief that air conditioners are not a necessity is . . .","Recently in Indian cities, the belief that owning an air conditioner is a requirement of high social status is . . .","Recently in Indian cities, the belief that air conditioners are not worth buying because they are too expensive is . . .","Recently in Indian cities, the belief that air conditioners are essential for good quality of life is . . .","Recently in Indian cities, the belief that air conditioners are not bad for the environment is . . .",Please indicate the extent to which you agree that people should buy energy-efficient/star-rated air conditioners even if they cost twice as much to buy.,Please indicate the extent to which you agree that air conditioners are not a necessity.,Please indicate the extent to which you agree that owning an air conditioner is a requirement of high social status.,Please indicate the extent to which you agree that air conditioners are not worth buying because they are too expensive.,Please indicate the extent to which you agree that air conditioners are essential for good quality of life.,Please indicate the extent to which you agree that air conditioners are not bad for the environment.,Please indicate the extent to which you agree that you would like to own an air conditioner even if it meant you didn't have money for other important things.,Please indicate how much more you would pay for an energy-efficient/star-rated air conditioner compared to a normal one.,Please indicate the extent to which you agree that you use public transport very often and rarely use private vehicles.,What is your age?,What is your gender identity?,What is the highest degree or level of education you have completed?,What is your employment status?,What is your marital status?,What caste do you identify with?,What was your total household income for 2019? - Selected Choice,"What was your total household income for 2019? - More than ₹10,00,000 - Text",Do you own or rent your home?,"Please estimate your monthly household expenditure (on food, healthcare, transportation, etc.) in Indian rupees.",Please indicate the number of 4-wheeler vehicles in your household.,Please indicate the number of 2-wheeler vehicles in your household.
549,R_XR5QRGwIYdqFJBf,EN,14,Pune,5,1,2,2,7,5,2,2,3,4,4,1,5,6,5,6,4,5,5,6,6,4,6,4,3,6,2,4,4,5,6,4,5,6,5,5,4,4,6,5,5,5,6,3,7,7,6,4,6,5,5,6,2,4,4,30,1,8,private,2,general,7,,1,100000,2,2
1300,R_3DwgvJHfCloHSVO,EN,14,Navi Mumbai,6,6,7,2,7,3,3,7,4,7,6,7,7,2,4,2,1,7,1,6,1,2,5,6,6,3,3,4,2,4,6,2,4,6,5,2,2,1,7,6,7,3,5,3,6,3,7,3,3,2,5,3,5,2,7,46,1,7,private,2,general,3,,2,40000,1,0
1142,R_1Eg2t5SqcvmjNba,EN,32,New Delhi,2,4,6,5,7,5,5,4,2,3,4,5,4,2,3,5,2,4,5,3,5,3,4,5,4,3,3,3,4,5,4,2,3,5,5,4,3,2,7,5,6,2,7,3,7,3,5,3,7,3,6,3,5,3,5,36,1,8,self,2,general,6,,2,35000,2,1
1198,R_2uweqDoNri4aI56,HI,14,Ambajogai,2,5,3,3,7,4,3,4,4,7,3,4,5,1,2,4,1,6,1,5,2,2,4,7,4,2,1,4,4,7,4,1,5,6,3,7,7,3,2,3,4,2,2,4,2,6,5,5,7,6,3,1,2,1,6,33,1,7,private,2,sc,1,,1,20000,0,0
547,R_O9gMYdWFq1NroFb,EN,32,delhi,5,6,3,5,6,5,3,6,5,4,4,3,3,5,4,6,3,5,5,4,5,5,4,4,4,5,3,3,4,4,4,4,5,3,2,4,6,5,5,5,3,5,6,3,5,4,5,5,3,1,6,5,4,3,3,22,1,7,private,1,general,7,1200000,1,40000,2,0
734,R_wZEAFirDbuyBlDP,EN,14,Mumbai,2,2,2,6,4,4,2,7,6,5,6,6,3,7,1,6,3,2,6,4,6,3,6,3,6,4,6,2,2,6,3,6,3,3,3,6,7,3,6,5,6,6,2,5,3,4,1,3,2,5,6,4,2,4,6,20,1,6,student,1,general,4,,1,20000,0,2
1975,R_3G7iGtlKFdz1f16,EN,14,Mumbai,4,3,2,2,4,2,2,4,2,1,2,2,2,2,2,2,2,3,2,2,5,3,2,6,2,2,3,2,2,4,2,2,2,2,4,4,2,2,5,5,5,5,4,4,5,4,5,6,5,6,5,5,5,1,5,36,1,8,private,2,sc,6,,1,20000,1,2
774,R_x6eXtjguCw1lg1b,EN,32,Delhi,6,4,4,3,7,4,4,6,5,5,3,3,5,4,2,5,3,5,4,5,2,3,5,2,4,5,2,5,3,3,5,4,7,7,2,6,2,4,6,4,4,2,6,1,5,5,4,3,6,1,7,4,4,0,1,27,2,8,private,2,general,6,,1,10000,1,1
1018,R_2SjiOs4HIRuxHS1,EN,14,Pune,4,2,3,2,4,4,6,1,3,3,7,6,7,2,6,7,2,7,6,5,2,2,7,7,2,6,7,3,7,6,3,7,4,6,5,6,2,6,6,4,4,4,6,6,4,4,1,5,4,4,4,4,2,1,4,49,1,8,private,2,general,5,,1,4000,1,1
