sub,state,city,age,sdacown,sdacee,sdacnotnec,sdacwant,sdacss,sdacnotworth,sdacqol,sdacnotbad,sdacee2x,siwastee,sidivest,sirenslow,sirenair,siglobal,siccdrastic,sisoc,sicccit,siccgov,siccrich,siccus,sicclux,sieeworth,siwestcut,siev,sisolar,sisolarenv,sifoodwaste,simeat,sidevair,siairpol,sinewbldg,sirenter,sirichstd,sisuccess,sicomfort,sisaving,siwaste,dacown,dacee,dacee2x,dacnotnec,dacss,dacnotworth,dacqol,dacnotbad,pacee2x,pacnotnec,pacss,pacnotworth,pacqol,pacnotbad,bacvsother,bpayeeac,bpubtrans,attention,gender,gender_text,race,race_text,edu,edu_text,employ,marital,income,income_text,home,monthlyexp,residence,politics,party,class,n4wheel,n2wheel,time
Response ID,"50 States, D.C. and Puerto Rico",In which city or town do you currently reside?,What is your age?,Please indicate how many Americans you think own air conditioners.,Please indicate how many Americans are willing to buy energy-efficient air conditioners even if they cost more to buy.,Please indicate how many Americans believe that air conditioners are not a necessity.,Please indicate how many Americans would want to own air conditioners.,Please indicate how many Americans believe that owning an air conditioner is a requirement of high social status.,Please indicate how many Americans believe that air conditioners are not worth buying because they are too expensive.,Please indicate how many Americans believe that air conditioners are essential for good quality of life.,Please indicate how many Americans believe that air conditioners are not bad for the environment.,Please indicate how many Americans believe that people should buy energy-efficient air conditioners even if they cost twice as much to buy.,Please indicate how many Americans believe that those who waste energy are bad people.,"Please indicate how many Americans believe that investing in renewable energy and ceasing investments into fossil fuels like coal, oil, and gas will slow the US’s economy",Please indicate how many Americans believe that investing in renewable energy instead of investing in coal will slow the US’s development.,Please indicate how many Americans believe that shifting primarily to renewable energy is the only way to secure good air quality for the US.,Please indicate how many Americans believe that developing renewable energy is not important for the US’s global status.,"Please indicate how many Americans believe that solving climate change demands drastic solutions now, even if it is costly or interrupts our day-to-day life.",Please indicate how many Americans believe that other social problems are more urgent than climate change.,Please indicate how many Americans believe that addressing climate change is not the citizens’ responsibility.,Please indicate how many Americans believe that the government must take much more action to address climate change.,Please indicate how many Americans believe that only rich countries should be responsible for addressing climate change.,"Please indicate how many Americans believe that the US should be an international leader in addressing climate change, even if other wealthy countries don’t help.",Please indicate how many Americans believe that worrying about climate change is a luxury.,Please indicate how many Americans believe that energy-efficient appliances are not worth buying because they are too expensive.,Please indicate how many Americans believe that people in the western world (like the US and Europe) should drastically cut their energy usage because they use too much.,"Please indicate how many Americans believe that people should switch to electric vehicles (cars, 2- and 3-wheelers, buses, etc.) because it would be better for the environment.",Please indicate how many Americans believe that solar water heaters are worth the extra cost to buy them.,Please indicate how many Americans believe that solar water heaters may have environmental benefits but are not worth the cost.,Please indicate how many Americans believe that occasionally wasting some food is not that bad.,Please indicate how many Americans believe that eating meat is bad for the environment.,Please indicate how many Americans believe that we should reduce economic development in order to have clean air.,"Please indicate how many Americans believe that people should avoid behaviors that contribute to air pollution (driving cars, using diesel generators, dust from construction, coal-based electricity, crop burning, etc.).",Please indicate how many Americans believe that new buildings should have better insulation and solar panels even if they take more time and money to build.,Please indicate how many Americans believe that renters are not responsible for the energy efficiency and sustainability of their homes.,"Please indicate how many Americans believe that achieving the standard of living of wealthy Americans (e.g. big houses, cars, etc.) is the most desirable goal in life.","Please indicate how many Americans believe that larger homes, expensive cars, fancy clothes and accessories are not clear indicators of whether someone is successful in life.",Please indicate how many Americans believe that being comfortable today is more important than addressing climate change.,Please indicate how many Americans believe that it is OK to make unnecessary purchases sometimes and not save money.,Please indicate how many Americans believe that it is never OK to be wasteful.,"Recently, among Americans, owning air conditioners is . . .","Recently, among Americans, willingness to buy energy-efficient air conditioners even if they cost more to buy is . . .","Recently, among Americans, the belief that people should buy energy-efficient air conditioners even if they cost twice as much to buy is . . .","Recently, among Americans, the belief that air conditioners are not a necessity is . . .","Recently, among Americans, the belief that owning an air conditioner is a requirement of high social status is . . .","Recently, among Americans, the belief that air conditioners are not worth buying because they are too expensive is . . .","Recently, among Americans, the belief that air conditioners are essential for good quality of life is . . .","Recently, among Americans, the belief that air conditioners are not bad for the environment is . . .",Please indicate the extent to which you agree that people should buy energy-efficient air conditioners even if they cost twice as much to buy.,Please indicate the extent to which you agree that air conditioners are not a necessity.,Please indicate the extent to which you agree that owning an air conditioner is a requirement of high social status.,Please indicate the extent to which you agree that air conditioners are not worth buying because they are too expensive.,Please indicate the extent to which you agree that air conditioners are essential for good quality of life.,Please indicate the extent to which you agree that air conditioners are not bad for the environment.,Please indicate the extent to which you agree that you would like to own an air conditioner even if it meant you didn't have money for other important things.,Please indicate how much more you would pay for an energy-efficient air conditioner compared to a normal one.,Please indicate the extent to which you agree that you use public transport very often and rarely use private vehicles.,Please indicate the primary content of this study.,What is your gender identity? - Selected Choice,What is your gender identity? - Other - Text,Which categories describe you? Select all that apply. - Selected Choice,"Which categories describe you? Select all that apply. - For some other race, ethnicity, or origin, please specify: - Text",What is the highest level of education you have achieved? - Selected Choice,"What is the highest level of education you have achieved? - Other, please specify: - Text",What is your employment status?,What is your marital status?,What was your total household income for the year 2020? - Selected Choice,"What was your total household income for the year 2020? - $150,000 or more - Text",Do you own or rent your home?,"Please estimate your monthly household expenditure (on food, healthcare, transportation, etc.) in US dollars.",Which of these best describes your residential area?,Which of the following options best describes your political orientation?,"Politically, do you identify as a Democrat, Republican, or Independent/Other?","If you were asked to use one of the following five names for your social class, which would you say you belong in?",Please indicate the number of 4-wheeler vehicles in your household.,Please indicate the number of 2-wheeler vehicles in your household.,Q_TotalDuration
R_0VC9qQT66pEQGmR,33,Johnstown,56,7,4,3,7,1,2,4,7,2,4,4,4,4,4,3,5,4,3,4,4,5,4,3,2,3,5,4,2,4,4,4,6,5,3,4,5,4,4,3,4,4,4,4,4,4,3,5,2,2,5,5,4,0,1,5,2,,7,,4,,retire,2,7,,1,2000,3,2,3,3,0,0,1093
R_2P0eZTEB0Je7VD6,33,Bronx,33,7,4,2,7,1,2,2,7,2,1,1,1,2,6,1,7,3,3,1,3,5,6,2,3,2,6,2,1,1,4,4,3,7,7,7,7,2,4,4,4,4,4,4,4,4,4,7,1,1,1,4,1,0,7,5,2,,3,,4,,homemaker,1,2,,2,2000,1,5,1,5,0,0,488
R_2v8p2EOwT5VbGXT,33,Oneida,68,4,7,4,7,7,6,4,7,4,1,6,5,4,3,4,2,1,4,1,3,6,2,1,4,2,6,1,4,1,3,7,7,2,7,5,1,7,6,6,6,2,3,2,4,6,7,6,2,2,5,7,1,1,2,5,2,,"3,7",,4,,retire,5,4,,2,300,1,2,1,3,0,0,1265
R_2wcofTvFWAnnUjq,45,Houston,44,5,6,1,7,7,2,7,7,3,6,5,3,5,4,2,6,6,3,5,3,5,5,2,2,3,3,6,1,2,1,5,6,5,2,6,3,2,6,5,5,2,6,3,6,6,5,1,3,2,6,4,1,2,1,5,2,,8,kalinago mixed,5,,private,2,8,,2,2000,2,4,3,4,1,1,2439
R_2QhbJbsCoGZB1ng,45,dallas,79,7,6,2,7,6,6,2,6,5,5,1,2,6,1,6,6,2,7,6,7,7,2,2,2,2,6,2,2,7,2,7,2,5,6,6,2,7,7,5,6,6,6,2,6,6,4,4,4,2,6,6,4,0,4,5,2,,3,,6,,retire,5,9,,1,200,2,3,1,3,0,0,830
R_24AZk7c07A0oUyv,45,Haltom City,36,7,4,1,7,1,1,6,1,1,2,1,4,1,1,4,4,7,7,1,7,1,7,1,4,1,1,1,1,4,7,4,1,7,4,7,3,7,7,4,4,1,1,1,7,4,1,2,1,1,7,5,6,1,1,5,2,,4,,4,,private,2,11,,1,2000,1,3,2,3,2,0,642
R_xslcGliI8nQroqZ,33,Binghamton ,75,6,6,1,6,6,2,6,6,5,5,3,3,6,2,5,2,3,6,3,5,2,2,2,5,5,2,1,2,2,5,6,5,5,2,2,3,6,6,5,5,5,6,1,6,6,6,3,5,2,5,5,3,1,6,5,1,,3,,4,,retire,5,6,,2,300,1,5,1,5,0,0,1262
R_3I5fFcvcfoUXdDW,45,Fort Worth,54,7,7,2,7,2,5,6,7,2,6,7,7,2,3,1,7,4,4,1,5,1,4,2,1,1,6,4,1,1,2,5,7,5,4,4,3,4,7,5,3,1,2,2,5,1,1,1,1,2,5,6,5,0,1,5,1,,1,,4,,private,2,13,,1,1000,2,2,2,3,1,1,835
R_2wGZkxBo2U0ulZh,45,Houston,36,7,6,2,6,2,2,6,5,4,4,5,6,5,3,5,4,3,6,6,6,2,3,2,4,4,4,4,3,5,6,6,2,6,6,3,2,6,6,5,6,3,2,2,6,3,6,2,1,2,6,3,2,1,2,5,2,,4,,2,,homemaker,2,7,,1,1500,1,4,1,3,3,0,1224
